timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537919575877634,0,0,-1,-1,-2,-17,2,6
1537919575877634,0,-1,-2,4,15,40,-15,-3
1537919575877634,-1,-2,0,4,2,-1,26,0
1537919575877634,2,2,1,-2,-26,2,2,4
1537919575885612,-3,-3,-3,-4,-2,-4,-5,-2
1537919575885612,0,-1,0,-2,-6,-24,-1,1
1537919575886610,0,1,-2,0,14,9,-9,0
1537919575886610,-1,-3,1,6,16,11,0,-2
1537919575888604,-3,-2,-3,-7,-19,13,8,-4
1537919575888604,0,-1,-1,-2,-1,-5,-7,0
1537919575899575,1,0,0,-1,-2,-7,-3,-2
1537919575899575,-1,-1,0,0,3,-10,-3,-1
1537919575903564,1,0,0,0,10,-8,-9,-4
1537919575903564,-1,-1,-2,0,10,33,15,-1
1537919575920519,-1,0,6,-3,-19,-6,2,2
1537919575920519,1,1,0,5,3,8,-6,-2
1537919575928498,-2,-4,-4,-7,11,-3,-1,-2
1537919575928498,0,-1,4,-4,-27,-17,0,-1
1537919575950439,-1,-2,-9,-4,2,-21,-9,1
1537919575950439,-3,-3,-3,-5,-15,-8,4,-1
1537919575951436,0,-1,-2,1,27,44,0,0
1537919575951436,-2,-1,-3,-11,-63,-47,-1,-2
1537919575996316,0,-1,0,4,13,0,-10,0
1537919575996316,0,1,1,8,24,13,7,-1
1537919575997314,1,2,-1,1,-4,-8,9,3
1537919575997314,-1,0,-1,-3,-1,6,-8,-3
1537919575997314,0,0,-2,0,0,2,22,2
1537919575997314,-3,-2,-1,0,-1,0,-13,-3
1537919576002300,1,0,-1,3,4,-10,-2,-1
1537919576002300,-1,-1,-1,0,4,12,-7,-2
1537919576008284,-1,-1,-1,-2,-3,-10,-5,-1
1537919576008284,2,1,-1,-1,-3,-6,5,1
1537919576017260,-1,-2,-2,-2,0,10,-6,-2
1537919576017260,-1,0,-1,-1,-3,-9,3,0
1537919576031223,0,1,-1,-1,2,8,-3,-1
1537919576031223,0,-2,0,0,-5,-7,0,0
1537919576040199,-1,-3,-1,-1,-3,-11,-3,-3
1537919576040199,-1,-3,-1,1,3,22,1,-1
1537919576046183,0,0,0,-2,-1,-2,0,-1
1537919576046183,-1,1,-1,-4,-5,-3,-2,-1
1537919576069122,-1,0,0,-2,-2,-1,-6,-1
1537919576069122,0,2,1,1,5,-6,4,0
1537919576070119,0,-1,0,1,-2,3,-3,0
1537919576070119,0,-3,-4,-7,-7,-1,0,-1
1537919576083084,-3,0,0,2,4,0,0,-2
1537919576083084,2,1,0,3,-4,-7,1,-2
1537919576091063,-3,0,1,8,27,37,-1,-5
1537919576091063,-21,-5,3,26,108,-4,-24,-17
1537919576107020,2,-2,-4,-21,-66,-10,0,23
1537919576107020,-16,-6,-10,-31,-68,4,4,-16
1537919576107020,11,-2,4,9,9,-7,-83,-38
1537919576107020,5,-16,-14,-31,-73,-42,95,12
1537919576128962,-11,4,-3,14,62,-32,-66,-55
1537919576128962,6,-20,-15,-10,-30,106,36,67
1537919576129959,-31,-14,-6,-38,-92,-85,26,-10
1537919576129959,-43,-105,-40,39,80,27,-102,-71
1537919576143922,30,79,42,34,-6,-50,111,66
1537919576143922,31,-36,-12,-69,-65,77,19,-24
1537919576150903,5,52,-10,4,16,-30,100,29
1537919576150903,-20,98,28,-12,-10,21,-65,1
1537919576166860,-53,-79,-20,52,127,-52,-40,-38
1537919576166860,25,-46,19,51,88,96,-69,-5
1537919576167858,22,46,19,-88,-93,-100,-7,-45
1537919576167858,-9,-69,-69,-35,43,19,-14,7
1537919576188802,15,127,104,28,7,127,-18,11
1537919576188802,20,40,45,60,127,-128,-43,27
1537919576189799,21,-19,-20,-13,-88,122,24,-14
1537919576189799,7,-7,-11,25,-30,-49,-50,-40
1537919576203762,33,-63,-37,-17,-3,-75,20,17
1537919576203762,-29,-32,-20,-23,-10,-82,-48,-5
1537919576210743,-31,-9,-24,20,75,21,3,2
1537919576210743,38,4,23,-11,-102,79,31,9
1537919576227698,1,-16,-22,-23,-21,48,4,-3
1537919576227698,-17,51,8,18,8,-39,-4,-42
1537919576228695,-3,-10,-2,27,38,-27,-24,4
1537919576228695,9,8,17,-2,-11,9,41,34
1537919576249639,-10,-34,-15,-15,-27,-19,-17,-25
1537919576249639,-9,14,-2,-4,-18,-8,40,20
1537919576249639,-3,-14,7,17,26,31,-25,16
1537919576249639,14,8,11,-6,-8,-24,16,12
1537919576263602,-2,7,-4,-15,-15,16,-6,7
1537919576263602,-12,12,-12,-2,-6,-13,-14,-19
1537919576270583,9,-20,-12,8,24,27,4,18
1537919576270583,6,24,49,10,9,-10,7,1
1537919576286540,-28,-18,-28,-17,-21,-24,-37,-9
1537919576286540,-10,-12,-11,2,-8,14,16,2
1537919576287538,-5,-13,3,8,6,-19,-12,-3
1537919576287538,2,23,9,-8,-11,-4,15,17
1537919576309479,-15,-14,-29,-19,-14,16,-11,-2
1537919576309479,15,23,14,-5,-1,-1,25,-1
1537919576309479,15,-20,-37,-9,16,0,-29,8
1537919576309479,-13,-8,5,3,3,-2,17,-1
1537919576323442,24,10,-17,4,-6,11,4,0
1537919576323442,-14,1,-8,0,1,6,8,-7
1537919576331421,-11,-10,5,-14,7,-8,15,2
1537919576331421,-2,2,1,-2,-7,-7,-24,1
1537919576346381,-6,-17,3,-3,-5,-3,24,-3
1537919576346381,6,1,-12,0,-13,2,10,5
1537919576347378,2,4,14,11,7,19,0,7
1537919576347378,-3,1,-7,-2,6,-6,23,4
1537919576369319,3,5,8,0,-8,0,-11,-1
1537919576369319,2,6,-8,-1,0,-8,-19,-4
