timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537918733416720,-2,2,0,3,3,-3,5,-7
1537918733416720,0,0,-2,1,4,-7,-2,-2
1537918733417717,2,0,0,0,2,-19,-4,4
1537918733417717,-2,1,-1,2,10,6,5,0
1537918733418715,-1,0,1,3,10,-1,15,5
1537918733418715,0,-1,0,-2,-2,4,10,0
1537918733419712,1,0,-2,-4,-15,-3,-2,-3
1537918733419712,-1,-2,-2,-5,-27,-13,-23,3
1537918733420709,1,-3,-2,-6,-4,1,1,-3
1537918733420709,0,0,3,4,6,1,-3,0
1537918733434672,-3,-2,-3,-3,5,-5,-8,-4
1537918733434672,1,-1,2,3,6,-10,6,0
1537918733444646,-2,-2,-2,4,-2,20,-5,-1
1537918733444646,1,-2,-3,-4,0,8,7,3
1537918733450630,1,0,1,5,4,-7,-6,-4
1537918733450630,-1,-2,-2,-3,2,-12,-14,-5
1537918733465591,0,-2,0,-3,-8,-2,-2,0
1537918733465591,0,1,0,0,-2,-11,8,2
1537918733480550,-2,-1,0,0,11,27,-2,-4
1537918733480550,-1,-1,2,0,-2,-13,10,-1
1537918733480550,0,-2,-4,-4,-15,-11,-19,2
1537918733480550,-1,-1,1,1,1,19,14,0
1537918733527425,0,0,-1,3,4,-7,-2,-2
1537918733527425,-1,-1,-1,1,2,-3,-1,0
1537918733528422,-1,-2,0,-1,-4,-7,-2,-1
1537918733528422,-1,-1,1,1,2,1,-2,-1
1537918733540390,-1,-2,-1,-1,2,5,3,1
1537918733540390,-2,-1,-2,-3,-2,-6,-4,-1
1537918733541387,0,0,1,1,0,0,3,1
1537918733541387,-2,-1,0,-2,-1,-2,0,0
1537918733542386,-1,-2,1,0,5,1,-3,-1
1537918733542386,-1,-1,0,3,14,3,-1,-2
1537918733548369,-2,-1,-2,-6,-32,-13,-2,-2
1537918733548369,0,-1,-2,1,1,8,-1,-3
1537918733562331,-2,-1,-1,3,3,-19,-1,-1
1537918733562331,0,-4,-3,-8,-10,17,4,4
1537918733571308,2,1,-3,-1,9,-8,-16,-3
1537918733571308,-1,-1,-1,3,1,-2,-1,-2
1537918733577291,-1,0,1,-2,-9,-7,-2,-2
1537918733577291,1,2,1,3,8,3,2,-3
1537918733600230,-1,-2,-2,0,-2,1,2,0
1537918733600230,0,-2,-4,-5,-3,1,0,0
1537918733601227,-1,0,1,9,45,36,-3,-1
1537918733601227,-6,-2,-2,-4,-24,-31,1,13
1537918733615189,-16,0,3,11,36,-42,-26,-41
1537918733615189,13,-2,-7,-21,-71,40,34,20
1537918733616187,2,0,-4,-17,-50,-29,-48,33
1537918733616187,-1,0,3,20,41,-69,41,-25
1537918733637130,-6,-7,-9,-16,33,1,-73,-48
1537918733637130,-10,-3,3,1,-55,-60,41,39
1537918733638128,-21,-6,1,18,65,56,-52,-93
1537918733638128,4,-6,-16,-43,-40,102,35,32
1537918733660070,12,7,-4,-25,-123,-98,-42,-71
1537918733660070,-6,3,17,57,114,127,-35,-19
1537918733661068,-4,-6,-14,-38,-127,84,25,34
1537918733661068,-15,0,5,19,78,-104,40,-41
1537918733675029,-18,-14,-14,-53,-74,-11,-13,-12
1537918733675029,0,4,18,59,104,61,0,29
1537918733676028,22,5,-3,-10,-96,-128,-66,-6
1537918733676028,-22,3,29,91,120,127,4,-31
1537918733697968,9,-5,-13,-56,-127,-81,88,64
1537918733697968,5,-6,-12,-19,54,-97,-124,-32
1537918733697968,6,7,21,48,102,12,95,25
1537918733697968,3,-11,-35,-115,-128,43,-43,52
1537918733719909,-2,1,7,26,127,29,26,1
1537918733719909,-15,4,3,1,29,30,-48,-3
1537918733720907,6,9,21,78,127,-22,58,-11
1537918733720907,-7,-6,-12,-23,25,96,-55,-2
1537918733734869,0,10,20,51,-18,97,-15,-3
1537918733734869,37,-2,-22,-26,2,-76,60,52
1537918733735867,-18,-17,-23,-61,-73,76,-44,-61
1537918733735867,8,7,17,36,52,22,63,61
1537918733757808,14,1,0,-5,-15,79,-19,7
1537918733757808,-13,-5,-4,-25,-85,-3,-47,-73
1537918733757808,-3,0,-3,4,31,-32,51,23
1537918733757808,2,-2,5,15,13,17,24,-13
1537918733779749,-18,-9,-9,-11,-6,23,16,-9
1537918733779749,-7,0,-4,-8,-78,-79,23,16
1537918733780747,12,1,1,8,49,31,-44,29
1537918733780747,0,-8,-18,-51,-128,-12,-86,-52
1537918733794709,5,2,4,20,31,-85,-17,11
1537918733794709,-15,-2,-5,-34,-43,4,30,-47
1537918733795707,7,-1,0,-16,-30,28,17,44
1537918733795707,18,5,2,12,-44,15,2,9
1537918733817648,7,2,-3,10,65,12,18,-7
1537918733817648,-4,-3,1,8,66,37,-23,-25
1537918733818645,1,0,-5,-19,10,29,-27,-3
1537918733818645,3,8,13,36,90,-102,-71,-27
1537918733839589,10,-5,-9,-23,-101,-59,36,52
1537918733839589,-4,3,11,35,68,127,-13,-53
1537918733840587,6,5,8,22,32,-56,22,16
1537918733840587,-23,-1,4,17,-37,6,-8,-21
1537918733864523,7,-3,0,8,110,127,1,-14
1537918733864523,-3,0,-7,-34,-56,-128,-12,-5
1537918733865520,4,-2,-7,-19,0,13,-52,-5
1537918733865520,-2,-11,-19,-43,-82,-15,15,29
1537918733877488,9,10,19,39,64,-59,18,26
1537918733877488,-2,-3,-11,-29,-101,127,40,9
1537918733878485,-7,-2,-1,-1,-15,-19,-21,10
1537918733878485,9,5,3,2,12,-25,39,-2
1537918733900427,-12,-2,7,28,65,34,-84,-60
1537918733900427,-18,2,19,62,107,38,60,8
1537918733900427,2,-7,-17,-43,-86,-52,-13,18
1537918733900427,-1,-2,3,12,79,23,-18,3
1537918733914389,-8,-4,-10,-19,-32,74,16,-2
1537918733914389,-1,2,5,6,-4,-7,13,-8
1537918733922368,-6,-3,-3,3,-7,-27,-11,-19
1537918733922368,17,0,-4,0,27,-41,-1,11
1537918733937328,-3,-1,1,5,6,-12,-24,18
1537918733937328,7,-1,-6,-18,-31,-33,-6,20
1537918733938325,-6,-2,1,16,39,72,-10,-40
1537918733938325,10,3,0,-10,-80,41,79,28
1537918733960267,-4,3,2,10,33,24,15,19
1537918733960267,8,-3,-6,-22,-49,-70,-14,4
1537918733960267,-9,-3,-4,-10,-29,31,41,-12
1537918733960267,-8,1,2,4,16,8,-30,-42
1537918733974229,-6,-1,0,3,-1,6,34,0
1537918733974229,4,-1,1,2,1,-33,-24,21
1537918733982208,-4,0,4,12,35,-5,6,-6
1537918733982208,-2,-2,-4,-4,0,-26,-17,-9
1537918733997168,-2,-2,-3,-5,-17,-18,19,13
1537918733997168,4,0,-5,-8,-2,2,-1,3
1537918733998165,-1,0,-1,-3,-18,-22,14,1
1537918733998165,0,1,2,10,23,-14,-5,2
1537918734020107,-2,1,-2,-3,-23,17,-2,1
1537918734020107,2,-2,-1,-3,5,-11,15,11
1537918734021105,-1,0,2,0,-2,9,6,0
1537918734021105,0,0,-1,1,-4,-30,-3,0
1537918734034070,-3,-2,-1,-1,-2,-8,1,6
1537918734034070,0,-2,-3,-5,-4,11,-17,4
1537918734043046,-1,3,1,0,-10,-5,53,4
1537918734043046,-5,-2,-1,-1,-1,-28,-15,-13
1537918734058006,3,0,-1,-6,-2,11,-4,5
1537918734058006,3,0,0,-1,6,3,8,3
1537918734058006,-3,-1,1,1,-8,-29,-16,-13
1537918734058006,-3,0,2,4,14,18,5,-1
1537918734079948,3,2,-4,-8,-9,-16,0,1
1537918734079948,-1,-3,-1,-1,-1,5,11,5
1537918734080946,-13,-6,0,-3,-4,-18,-12,-12
1537918734080946,9,6,1,-1,-2,-17,-3,0
1537918734094908,-20,-15,-1,1,0,17,3,24
1537918734094908,22,11,1,-1,1,-8,-10,0
1537918734102887,-20,2,-1,-2,-7,1,1,18
1537918734102887,12,-8,-2,-1,-1,-25,-5,-8
1537918734117848,-5,12,1,0,-1,22,12,-1
1537918734117848,-14,-17,-6,-3,0,-2,1,1
1537918734117848,10,7,1,0,-1,5,-12,-6
1537918734117848,-13,-17,0,0,2,0,12,14
1537918734139789,11,4,-2,-3,-5,-39,-25,-1
1537918734139789,-14,-18,-2,1,0,35,44,-7
1537918734140787,12,11,1,1,-2,-2,-44,-6
1537918734140787,4,8,-1,-2,-2,-4,2,-1
1537918734155746,-4,0,0,0,-2,-21,36,0
1537918734155746,-1,2,0,1,3,7,-25,-5
1537918734162727,-1,-11,-9,-2,-4,-4,7,0
1537918734162727,-5,-2,10,-1,0,10,-2,-6
1537918734177687,-5,1,0,0,0,-13,-23,-19
1537918734177687,7,4,-2,-4,0,15,14,15
1537918734178686,0,-1,-2,-3,-4,-7,-19,-4
1537918734178686,-2,3,-2,3,1,5,2,-5
1537918734201624,11,-1,-2,-2,-7,-4,-9,13
1537918734201624,-4,-1,3,2,4,-13,-8,-4
1537918734202621,1,-1,-1,-2,-2,-7,32,8
1537918734202621,-2,0,-4,-3,-2,-38,-22,-7
1537918734214588,-5,-6,0,1,6,76,-9,0
1537918734214588,-2,7,-2,0,-6,-15,-23,-12
1537918734222567,3,-5,1,3,1,15,97,14
1537918734222567,-8,-1,-1,2,0,13,-16,6
1537918734237528,3,-2,-4,0,-2,-36,0,8
1537918734237528,-2,2,-2,-1,2,8,20,-3
1537918734238526,-1,0,3,0,-2,-11,-22,-8
1537918734238526,-1,1,-7,0,-1,-18,-4,6
1537918734260465,-3,-3,-7,-2,-1,37,-1,-8
1537918734260465,-2,1,-7,-2,0,1,13,6
1537918734260465,11,1,3,0,-2,-19,-28,-3
1537918734260465,4,3,-3,-2,0,3,-4,3
1537918734283405,3,3,3,-2,-4,-12,-33,7
1537918734283405,9,-4,-1,3,1,-8,24,1
1537918734284402,-13,-7,-4,-3,-2,33,15,-1
1537918734284402,13,4,2,-1,5,-7,-29,6
1537918734297366,0,1,0,3,7,-1,20,-8
1537918734297366,-2,2,1,-2,-10,-11,-8,-4
1537918734298364,2,1,-3,-8,-1,25,-22,1
1537918734298364,-14,-6,7,2,-1,1,21,-3
1537918734322299,1,1,-5,1,-4,-31,13,-2
1537918734322299,-1,0,2,-1,-5,-14,7,10
1537918734323297,-6,-4,-1,1,6,17,-20,-21
1537918734323297,6,4,-4,0,10,-24,-22,23
1537918734328283,1,-2,3,-1,4,22,15,0
1537918734328283,1,1,1,-1,2,-16,-24,10
1537918734342246,-1,-1,-2,-1,-5,-14,18,-2
1537918734342246,-1,-1,1,1,3,38,5,4
1537918734349227,2,-3,-6,-4,-3,-11,5,5
1537918734349227,-2,-2,0,1,1,-13,-16,0
1537918734357206,-10,-2,1,-1,-1,-8,-13,-8
1537918734357206,-5,-4,-2,-1,-5,-7,9,-19
1537918734372165,-6,-4,2,1,0,4,18,0
1537918734372165,-2,2,1,2,1,-27,-4,-6
1537918734379147,2,2,1,8,34,70,10,3
1537918734379147,-4,-5,-6,-6,-19,-18,-11,-6
1537918734388123,-4,-5,-5,-9,-20,-7,-10,-8
1537918734388123,0,2,0,-9,-35,-16,0,-3
1537918734402086,-1,-2,1,1,-6,-25,-5,-3
1537918734402086,-6,-1,-1,6,15,12,4,-10
1537918734409067,3,-1,1,-1,5,-23,-2,-4
1537918734409067,5,-2,-3,-6,6,49,-9,6
1537918734417045,19,3,-1,0,-5,-9,-4,18
1537918734417045,-4,0,-3,-3,1,15,10,-7
1537918734432006,-4,1,2,6,9,-16,-6,-9
1537918734432006,-6,-1,0,1,10,0,-9,-14
1537918734438987,-6,0,-1,-2,-12,-13,4,-4
1537918734438987,2,-1,-3,-2,4,11,0,8
1537918734453947,3,1,2,0,-19,-40,3,11
1537918734453947,-4,-3,0,0,0,36,2,-5
1537918734462923,0,-1,0,4,15,4,-1,-1
1537918734462923,5,-1,-2,-7,-17,-45,7,6
1537918734477883,-2,-1,-1,0,2,-6,-1,-1
1537918734477883,-12,-3,-1,0,10,26,1,-21
1537918734477883,-10,-4,-2,0,-1,-19,6,4
1537918734477883,0,-3,-5,-3,10,7,-5,-5
1537918734491846,2,2,-1,-2,-8,23,-18,-19
1537918734491846,18,5,5,7,10,-40,26,32
1537918734499825,-5,-1,-1,-4,-7,16,7,15
1537918734499825,3,1,5,3,-5,-13,2,-54
1537918734514785,11,-3,-3,-5,8,39,-16,48
1537918734514785,-10,-1,0,5,17,9,22,9
1537918734522765,-7,-2,-6,-7,-28,-21,-58,-4
1537918734522765,-1,-1,0,-4,-10,-6,-15,-24
1537918734537725,7,6,2,0,1,-2,-5,-22
1537918734537725,3,1,-2,-2,-3,12,22,-1
1537918734538722,4,-5,-3,1,5,-21,-30,-4
1537918734538722,-38,-4,-3,-6,-11,-27,-2,-67
1537918734551688,-21,-7,-4,-2,7,36,14,-61
1537918734551688,3,-3,3,5,11,-3,-26,-3
1537918734559668,64,20,3,-2,-5,-5,-54,7
1537918734559668,-1,4,4,4,3,38,111,34
1537918734574626,-4,-3,2,2,4,-7,24,56
1537918734574626,-17,-2,-4,-5,-13,-23,-42,-26
1537918734582605,-28,-15,-5,-5,-8,-13,1,-65
1537918734582605,13,3,0,3,9,21,-39,23
1537918734597565,-5,-3,-4,-5,-4,-17,-32,8
1537918734597565,-9,-7,-2,-7,-9,-6,94,1
1537918734598563,-5,1,1,2,8,14,-23,-4
1537918734598563,8,0,-1,-1,3,16,14,45
1537918734611526,-8,-2,-3,-3,-5,-2,42,-3
1537918734611526,0,2,0,3,-3,-24,-69,-33
1537918734619505,1,1,0,1,6,23,117,15
1537918734619505,-4,-1,-3,0,-5,-15,-65,12
1537918734634465,-1,0,1,3,8,-1,27,-17
1537918734634465,13,1,4,1,2,5,-46,40
1537918734642443,-9,1,2,-3,-24,-15,22,25
1537918734642443,2,-5,-4,-7,-10,3,0,18
1537918734657403,-5,1,1,1,1,-20,-32,-19
1537918734657403,-3,-4,-4,-4,-2,15,10,-21
1537918734658401,-2,0,1,-1,6,-4,-16,3
1537918734658401,2,0,2,2,6,23,17,43
1537918734671366,8,3,-1,0,-3,-6,14,-35
1537918734671366,-9,6,2,1,4,-1,-12,-9
1537918734679345,-5,-10,-4,-1,0,-2,42,3
1537918734679345,3,-1,-2,-2,-3,-9,-65,-19
1537918734694304,6,-1,-1,1,-3,-7,11,24
1537918734694304,-9,-3,-4,-2,-6,7,12,-8
1537918734702284,1,-1,1,1,2,-22,-57,-13
1537918734702284,4,5,-2,1,4,3,22,13
1537918734719239,-4,-3,-6,-2,-4,0,-10,-6
1537918734719239,0,0,-5,-7,-9,-14,-54,-16
1537918734719239,-13,-4,1,3,9,27,33,24
1537918734719239,-3,-2,4,2,0,-12,33,-9
1537918734732204,-1,4,-1,-2,-2,1,-12,-12
1537918734732204,8,-2,0,0,-3,9,9,49
1537918734740183,16,1,-12,-8,-4,-8,-42,13
1537918734740183,-1,0,1,3,1,6,7,-23
1537918734754146,1,-2,1,-4,-4,1,-16,-3
1537918734754146,-1,-2,1,-1,-3,-9,3,-2
1537918734762124,-5,3,3,2,1,-1,-12,2
1537918734762124,-3,-7,-2,-2,-2,4,-10,7
1537918734777084,3,-3,0,0,-2,-24,-5,3
1537918734777084,-1,0,-1,-1,-3,-34,2,-7
1537918734778081,-3,-2,-1,1,4,62,26,1
1537918734778081,10,4,-2,1,3,-3,-14,-5
1537918734792044,-6,-2,10,0,4,-17,-3,7
1537918734792044,8,1,-13,-1,-9,12,5,8
1537918734799025,-2,2,3,-2,-5,-19,-5,-17
1537918734799025,0,-3,1,0,-2,-11,2,-8
1537918734813986,-9,-3,-4,0,4,10,-5,4
1537918734813986,0,-2,1,-4,0,13,27,-3
1537918734822961,-2,0,-3,2,3,-24,-12,-6
1537918734822961,-6,-1,-2,-2,-3,8,2,-33
1537918734836924,3,-1,-2,-2,-6,-17,13,36
1537918734836924,2,1,2,0,5,-11,-10,-8
1537918734844903,-4,8,4,-3,-4,23,7,0
1537918734844903,-3,-7,-4,-3,-2,-14,-4,-4
1537918734851884,2,0,-2,3,4,14,18,-11
1537918734851884,-5,-4,3,-2,-4,21,8,-3
1537918734859862,2,-2,-2,2,6,20,14,-7
1537918734859862,2,2,-2,0,-4,-40,-5,12
1537918734873824,-3,-3,0,-2,-4,19,-4,0
1537918734873824,9,0,0,-1,0,-8,-20,3
1537918734882800,-2,-4,-5,-1,-4,-22,-18,0
1537918734882800,-4,-2,-1,-2,1,16,27,14
1537918734896763,2,-1,-1,1,4,2,-20,-7
1537918734896763,-1,2,-1,1,2,5,11,-5
1537918734904742,3,-2,2,-3,1,-5,-12,6
1537918734904742,2,-1,-2,-2,-10,-5,11,11
1537918734911723,0,1,-1,-2,-6,-1,-19,-13
1537918734911723,3,1,0,-1,0,3,15,11
1537918734919702,-2,-2,-2,0,2,-2,-1,-9
1537918734919702,1,-2,0,-1,0,11,-15,1
1537918734934662,1,1,1,-2,0,-9,11,4
1537918734934662,-5,-2,-1,0,1,5,-9,-11
1537918734949622,-3,-3,-2,-4,-5,-8,15,4
1537918734949622,-1,-1,-1,-1,1,-13,-4,2
1537918734956603,1,0,1,2,6,50,-3,-2
1537918734956603,1,-2,-2,-4,-8,-18,-4,6
1537918734964582,0,-1,-2,-2,-1,-7,8,-7
1537918734964582,0,0,2,0,0,4,8,0
1537918734971563,1,0,-3,0,0,-11,-5,2
1537918734971563,-4,0,-3,1,3,-3,-2,1
1537918734979542,-4,0,0,0,-4,-2,4,-9
