timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537909713333503,1,-8,8,2,2,0,0,2
1537909713333503,-2,-5,2,-1,-1,1,-2,-2
1537909713334500,-7,-19,-32,-13,-4,-2,-1,-3
1537909713334500,3,16,76,37,8,-1,1,3
1537909713334500,-1,-4,-26,-20,-6,-2,0,0
1537909713334500,0,9,20,7,1,-1,1,1
1537909713335498,-5,-36,-41,-8,0,1,-3,-2
1537909713335498,1,25,26,11,1,1,-1,-1
1537909713341482,-5,-20,-30,-11,-1,0,-2,-3
1537909713341482,5,15,-1,0,-3,-2,1,2
1537909713356442,-1,-6,3,3,-2,-3,-1,0
1537909713356442,-2,-9,-60,-13,-2,0,-1,-2
1537909713361428,1,23,105,18,1,-1,-3,-3
1537909713361428,-2,-17,-38,-11,-1,-1,0,0
1537909713372399,2,17,24,9,1,0,0,0
1537909713372399,-2,-13,7,-5,-2,-1,-4,-2
1537909713387359,2,15,7,0,0,0,2,1
1537909713387359,-4,-7,-9,-2,0,0,-1,-2
1537909713400324,2,-2,53,11,0,0,-1,-1
1537909713400324,-4,-4,-37,-13,-1,-1,-1,-2
1537909713440218,-1,-1,-13,-2,-1,0,-1,-1
1537909713440218,-1,2,0,0,0,-1,0,-1
1537909713441215,-1,-6,1,-6,-1,-2,-1,-2
1537909713441215,-2,-3,-9,-4,-4,-2,-3,-3
1537909713445204,-4,-7,2,-3,-3,-1,-3,-3
1537909713445204,0,0,3,3,0,-1,-1,1
1537909713446202,3,11,-6,3,-1,-1,0,1
1537909713446202,-1,-11,26,1,-1,-1,-1,2
1537909713451188,2,9,-17,4,-1,-1,0,0
1537909713451188,0,-9,-1,-5,0,-1,-2,-1
1537909713459167,-2,-11,11,-10,-2,0,-1,0
1537909713459167,1,1,-1,10,2,0,-2,0
1537909713474127,-3,16,1,-9,-1,-2,-1,-1
1537909713474127,-3,-23,-40,3,-3,-1,0,-1
1537909713481108,0,13,50,17,2,-1,-1,-1
1537909713481108,0,-17,-17,-25,-4,2,1,0
1537909713490085,-2,4,20,-5,-2,-1,-2,-4
1537909713490085,-1,13,-2,1,0,1,0,-2
1537909713513023,0,-11,4,3,1,1,1,1
1537909713513023,-3,5,13,12,-1,0,-1,-3
1537909713514021,2,-3,-20,-16,-4,-1,1,1
1537909713514021,1,7,20,6,-1,-2,-2,-2
1537909713534965,-2,-4,-66,-12,-1,-1,-1,-1
1537909713534965,1,13,61,10,3,0,-1,-2
