timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537918910778108,0,-3,-4,-12,-26,-9,0,1
1537918910778108,0,-1,-2,0,1,-22,-6,-1
1537918910785089,-3,0,0,3,5,-5,6,-3
1537918910785089,-2,-2,-5,-12,-16,10,-16,-7
1537918910787084,-1,-1,0,2,8,8,12,0
1537918910787084,-2,0,3,6,16,-8,-2,-1
1537918910788082,-1,-1,0,3,5,27,-3,0
1537918910788082,-2,-2,-3,-2,1,-26,-9,-4
1537918910800048,0,-1,0,2,-1,13,11,2
1537918910800048,-2,-1,-2,-1,13,-4,-2,-3
1537918910802044,2,-2,1,2,-12,-11,-16,2
1537918910802044,-1,-4,-2,-5,-24,-8,-3,2
1537918910814011,1,0,-1,0,-4,-13,-6,-1
1537918910814011,1,-1,1,3,13,35,9,-1
1537918910819995,0,0,-2,-5,-2,-15,-9,2
1537918910819995,1,-2,3,6,7,7,6,2
1537918910834955,-2,0,-2,-1,1,2,-23,-6
1537918910834955,1,0,1,3,5,13,22,2
1537918910851912,-1,0,-1,-9,-24,-41,-1,0
1537918910851912,-1,1,0,1,10,44,8,0
1537918910857894,-3,-2,0,4,16,-14,-2,-3
1537918910857894,-1,-1,-3,-7,-20,-7,-5,-1
1537918910898783,1,-1,0,2,-7,-28,-14,-3
1537918910898783,0,0,-1,-1,12,24,4,0
1537918910899781,0,0,-1,-4,-29,-47,-31,-2
1537918910899781,-1,-1,-1,-5,2,3,44,2
1537918910902772,-2,-1,0,0,-7,24,1,0
1537918910902772,-1,0,0,0,0,-6,-17,-2
1537918910903770,0,0,0,2,10,13,15,-1
1537918910903770,-1,0,-2,1,0,-10,-22,-3
1537918910911749,-1,0,-1,-1,0,-9,-8,-2
1537918910911749,-1,0,-2,-1,-2,5,23,0
1537918910917732,-1,0,-1,-1,3,6,-3,1
1537918910917732,0,0,-1,-1,-3,-9,-9,-1
1537918910933690,2,-1,-1,0,3,-2,5,1
1537918910933690,-2,-2,-2,-3,-5,2,-10,-3
1537918910939674,-1,-1,-2,-2,2,5,2,-3
1537918910939674,0,0,-1,-2,-4,5,2,2
1537918910948650,-1,-3,-3,-3,0,-2,-3,1
1537918910948650,0,0,0,-1,-4,-18,-3,1
1537918910971589,0,-1,-1,-1,-1,4,7,-1
1537918910971589,-2,0,0,0,2,-1,-7,-3
1537918910972586,-1,-1,-1,-2,2,7,-1,1
1537918910972586,-1,0,-1,-3,3,-10,0,0
1537918910984554,-2,-1,0,1,2,8,3,1
1537918910984554,-1,-1,3,6,20,-18,-2,-6
1537918910993530,2,2,-2,-4,-35,18,5,2
1537918910993530,-5,0,1,7,27,-4,4,0
