timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537907593423317,0,-7,-1,0,0,-2,0,-2
1537907593423317,-1,7,-4,0,0,0,-1,-2
1537907593423317,-2,-5,-17,-1,-1,0,-1,0
1537907593423317,-2,-4,-6,17,1,0,-1,0
1537907593424316,-2,-21,1,-32,-5,-3,-3,0
1537907593424316,0,3,-16,-1,0,0,0,-1
1537907593425312,0,3,12,-4,-4,-2,-3,-1
1537907593425312,1,-6,2,-1,1,0,0,-1
1537907593430299,1,15,-11,11,2,1,-1,1
1537907593430299,1,-4,3,1,-5,1,-1,0
1537907593444262,-1,-4,-7,-5,-2,-1,0,0
1537907593444262,-1,-2,27,2,4,0,1,1
1537907593450245,0,7,50,4,-1,-2,-3,-1
1537907593450245,0,-1,-47,-4,-1,-1,-1,-2
1537907593466203,2,22,-10,3,2,0,-1,0
1537907593466203,-2,-8,24,-9,-2,0,-1,-1
1537907593474182,-3,-21,-15,6,-1,1,0,-1
1537907593474182,1,11,10,4,1,-1,-1,1
1537907593489142,2,0,5,-1,-1,-1,-2,-2
1537907593489142,-1,4,-23,-4,-1,-1,-2,-1
1537907593503105,-3,1,12,2,-1,-1,-1,-3
1537907593503105,-1,0,9,-1,-1,-3,-1,-1
1537907593510086,-3,-11,-28,1,1,-1,-1,-1
1537907593510086,0,5,18,-2,-2,-1,0,-2
1537907593551973,2,1,-16,-1,-1,-1,0,1
1537907593551973,0,5,9,10,1,0,0,1
1537907593552970,-1,1,4,3,-1,-1,-2,0
1537907593552970,-2,-4,-21,-9,-2,-1,-3,-1
1537907593555962,-3,-5,-5,-11,-7,-3,-1,-3
1537907593555962,2,11,26,1,1,-1,-1,-2
1537907593556959,0,-6,7,3,2,0,-4,3
1537907593556959,-5,5,9,6,-2,-4,-1,-3
1537907593562943,0,-3,-25,-4,1,2,0,0
1537907593562943,-1,-9,-27,4,0,1,0,0
1537907593569925,2,5,8,-2,2,-1,1,-1
1537907593569925,0,-4,-2,5,0,0,0,0
1537907593577903,-1,0,12,-17,-5,-3,-1,-1
1537907593577903,-1,-2,4,-7,-4,-1,-2,0
1537907593592863,-2,1,-10,-5,0,0,1,-2
1537907593592863,1,4,5,4,0,0,0,-1
1537907593600842,-1,-3,9,12,0,0,0,1
1537907593600842,-1,-3,-4,-5,0,0,-1,4
1537907593623781,-4,-5,10,-3,-5,-1,-5,-8
1537907593623781,-1,-3,-44,-4,-1,-1,-1,-2
1537907593624778,1,2,15,7,2,1,-1,-3
1537907593624778,-2,-1,3,-1,-2,0,-1,0
1537907593638741,-3,-8,-9,-6,-3,-2,0,1
1537907593638741,2,17,3,1,2,1,2,1
1537907593638741,-2,-5,11,-6,1,-3,-1,-2
1537907593638741,0,-6,-18,1,-5,-2,-3,-3
1537907593661680,1,8,10,1,-2,-1,1,-2
1537907593661680,-2,-22,8,0,2,-1,-2,-2
1537907593662678,-1,7,-4,0,0,0,-2,0
1537907593662678,1,5,-1,-1,-3,-4,-2,-1
1537907593683621,-5,-11,-23,-7,1,1,0,-1
1537907593683621,1,-7,-8,-8,-1,0,-1,1
1537907593684620,0,-3,-3,4,0,-1,-1,1
1537907593684620,-1,1,9,-1,3,-2,-1,-1
1537907593698582,0,-2,-3,0,-4,0,0,-1
1537907593698582,0,3,11,-7,0,-2,1,1
1537907593699579,-3,-1,3,4,1,0,-1,-3
1537907593699579,-1,-2,-16,-1,1,-1,-1,-1
1537907593721520,0,6,-4,-1,-1,-1,-1,2
1537907593721520,-2,0,12,-1,-1,-1,0,0
1537907593722519,-1,-1,-3,0,-1,-1,0,0
1537907593722519,-2,-4,-4,-1,-1,-1,0,-3
1537907593744460,-1,-1,-4,1,2,-1,1,-2
1537907593744460,-1,-4,5,0,-3,-1,-2,-1
1537907593744460,-1,1,-1,3,-1,0,-2,-1
1537907593744460,-1,-1,1,-7,1,2,0,-2
1537907593758422,0,-4,1,2,-2,0,-1,0
1537907593758422,-2,2,-2,-2,-3,0,-1,-1
1537907593759419,-3,-2,-17,-11,-5,-4,-2,-2
1537907593759419,-2,-7,-15,2,-1,0,0,1
1537907593781359,2,10,24,20,6,2,-1,-1
1537907593781359,1,12,45,13,8,1,-2,-3
1537907593782357,1,-5,-34,-2,-2,-1,0,-1
1537907593782357,-2,-7,12,-29,-3,0,0,-1
1537907593804298,-1,2,-32,64,9,-1,-2,-2
1537907593804298,-2,-12,-3,-55,-32,-13,-6,-4
1537907593804298,-10,-22,-11,-37,-1,1,-2,-6
1537907593804298,12,44,23,14,6,2,3,4
1537907593818261,-7,-36,-10,1,0,-3,-1,0
1537907593818261,-3,-4,-24,20,-3,-1,-2,-2
1537907593819258,0,2,32,-14,11,7,-1,-2
1537907593819258,-7,-5,0,-14,-9,-9,-5,-6
1537907593841199,-2,-15,88,-43,-31,-13,-3,-3
1537907593841199,-1,12,-93,-44,5,7,2,1
1537907593841199,5,-12,-40,46,9,7,0,3
1537907593841199,0,20,-3,15,17,2,2,5
1537907593864138,1,5,-50,19,25,9,2,3
1537907593864138,-1,-2,111,-4,-37,-13,-2,-6
1537907593865135,2,-8,-110,-36,-13,-4,-1,0
1537907593865135,-2,-8,92,-6,8,6,2,0
1537907593878100,3,9,43,16,6,-3,1,3
1537907593878100,-4,-8,-10,4,15,5,0,0
1537907593879098,-1,10,-4,22,9,1,0,1
1537907593879098,-5,-13,-4,26,-10,-5,-4,-5
1537907593901039,0,7,-24,-21,-5,0,-1,-4
1537907593901039,0,-5,-11,2,9,1,2,1
1537907593902037,1,15,85,4,-8,-8,-1,-1
1537907593902037,-5,-19,-22,-6,-5,-1,-1,-2
1537907593923978,-1,8,-91,-28,-6,0,-1,0
1537907593923978,1,-7,64,15,6,4,0,1
1537907593924976,3,9,2,16,-2,-2,1,2
1537907593924976,0,-5,-23,-13,-6,-3,-2,-1
1537907593937941,1,4,7,-5,3,0,0,-1
1537907593937941,-3,-2,-16,13,2,-2,-1,0
1537907593945919,-3,0,10,0,-3,-2,0,-2
1537907593945919,-1,-3,-3,-4,0,1,2,0
1537907593960879,-3,5,18,-10,-6,-1,-2,-3
1537907593960879,2,-9,-35,9,2,0,-1,0
1537907593961877,-2,8,29,-4,0,1,1,-18
1537907593961877,4,4,-16,2,-1,-2,-1,10
1537907593983818,-3,-6,-8,-3,-2,-1,-1,5
1537907593983818,5,7,-8,2,2,1,0,1
1537907593984816,-2,0,2,4,-1,0,-1,-1
1537907593984816,3,-7,-8,8,2,0,2,5
1537907593998778,-9,6,5,-2,0,0,-4,-13
1537907593998778,-3,-2,-5,-2,0,-1,-1,-1
1537907593998778,2,-2,17,-2,-7,-3,1,12
1537907593998778,-1,-1,-22,3,2,0,-2,-12
1537907594020721,5,-2,13,-7,0,2,2,3
1537907594020721,-1,3,-6,4,3,-1,1,0
1537907594021718,-4,-4,-4,-1,-3,-1,-4,-10
1537907594021718,-4,-10,14,-8,-5,-1,-2,5
1537907594043659,6,6,-10,7,-1,-3,0,1
1537907594043659,-4,2,-2,7,1,-1,0,-3
1537907594044657,0,1,0,2,-1,-2,0,5
1537907594044657,-1,1,9,-1,3,4,-1,-5
1537907594057621,-1,-1,12,2,4,1,-1,2
1537907594057621,-1,8,-21,-9,-6,-2,-1,-5
1537907594065600,1,-8,25,2,-2,-2,-1,4
1537907594065600,-3,3,-19,-1,0,0,-1,-1
1537907594081558,-2,-8,-1,-2,-1,-2,-1,-3
1537907594081558,-3,-29,18,-4,3,2,0,3
1537907594082556,5,49,-25,-5,-6,-2,-1,-1
1537907594082556,2,-12,-24,-7,-1,0,-1,-2
1537907594104495,0,3,5,-1,1,2,-1,1
1537907594104495,-1,-3,-1,-13,3,-1,-1,-1
1537907594104495,-6,-20,21,13,-4,-1,0,-1
1537907594104495,-1,6,-45,-2,-4,-5,-4,-4
1537907594117462,4,5,-23,-1,-2,0,2,4
1537907594117462,-1,11,-7,12,2,4,-1,0
