timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537907088145903,2,0,-23,-1,1,-2,-1,-1
1537907088145903,0,2,16,0,1,-1,-2,0
1537907088146901,-2,-3,-28,-4,-2,0,-1,-1
1537907088146901,0,8,17,0,-2,0,0,0
1537907088147899,-3,-12,1,0,1,-1,0,-1
1537907088147899,0,1,0,1,-1,-1,-2,0
1537907088151887,-2,-5,30,4,-1,0,-1,-2
1537907088151887,-2,-1,-25,-2,1,-1,-1,-4
1537907088157871,2,0,-34,-1,1,2,0,3
1537907088157871,2,1,10,3,2,-1,-1,1
1537907088167845,0,2,21,-2,0,-1,0,1
1537907088167845,2,-2,3,1,0,0,-1,-1
1537907088174826,-1,-3,-8,-3,2,0,-2,-3
1537907088174826,-4,-8,34,-4,-3,-1,-1,-4
1537907088189786,1,2,-24,-2,-6,-2,-1,2
1537907088189786,3,10,-8,0,1,-2,0,2
1537907088196767,-2,1,6,3,0,0,-1,-1
1537907088196767,-2,1,-2,-1,1,0,-2,-1
1537907088212724,-2,-4,2,-2,3,0,-1,-2
1537907088212724,-3,-8,-8,-1,-4,-1,-3,-1
1537907088219706,1,2,16,-1,-3,-1,0,-1
1537907088219706,-1,1,-22,-2,-2,-1,0,-1
1537907088234666,-3,-11,-10,6,1,0,-1,-2
1537907088234666,0,12,-5,3,7,2,-1,0
1537907088235663,-1,3,52,10,1,0,-1,-2
1537907088235663,-1,-17,-70,-6,-5,-1,1,0
1537907088281541,6,11,-48,10,8,2,1,1
1537907088281541,-1,0,39,78,29,9,2,2
1537907088281541,-9,-20,27,-67,-34,-12,-1,-5
1537907088281541,-8,-32,-84,-5,3,-4,-4,-5
1537907088282538,0,15,3,12,12,9,6,2
1537907088282538,-2,-23,-15,-94,-28,-5,2,1
1537907088285530,-5,-8,45,85,39,6,-2,-4
1537907088285530,2,9,-83,-116,-55,-11,-2,2
1537907088293508,-1,-5,17,87,46,12,1,3
1537907088293508,9,36,58,-59,-36,-7,0,5
1537907088300490,3,1,-69,106,81,27,8,6
1537907088300490,-11,-14,-65,-67,-58,-12,-6,-10
1537907088307471,0,-60,79,-29,-6,4,3,3
1537907088307471,-17,-9,23,28,-41,-18,-8,-13
1537907088322431,20,44,56,75,62,22,10,14
1537907088322431,10,5,23,28,21,-3,-3,3
1537907088331407,11,29,-90,-80,-25,1,2,7
1537907088331407,-14,-40,7,-125,-19,-8,-6,-7
1537907088353349,1,12,-55,67,-6,-4,0,-3
1537907088353349,-8,-6,102,63,36,8,-2,-9
1537907088361327,-2,7,7,-63,-29,-17,-6,-4
1537907088361327,15,41,44,73,61,18,6,9
1537907088368308,-7,-15,-96,-111,-61,-17,-7,-6
1537907088368308,-9,-22,85,102,82,22,6,2
1537907088369306,3,30,57,-30,-55,-23,-4,-2
1537907088369306,-6,-10,51,6,3,2,-2,-7
1537907088391247,5,49,4,-59,-27,-7,-1,3
1537907088391247,1,-1,-23,-22,-6,-2,-2,1
1537907088393242,-8,-31,-18,24,17,2,-3,-5
1537907088393242,7,22,-68,20,8,2,1,1
1537907088414186,-3,-12,36,-45,-22,-6,-4,-3
1537907088414186,4,-4,16,-18,0,3,3,2
1537907088415183,-9,-1,-21,18,-19,-9,-6,-8
1537907088415183,5,-8,-28,-14,4,2,2,4
1537907088428148,-5,-19,-7,-4,-4,-3,-5,-5
1537907088428148,3,12,3,4,-10,-3,0,1
1537907088437125,1,4,35,-3,6,0,-2,0
1537907088437125,-4,-17,-58,32,8,0,-1,-2
1537907088452084,-2,-17,-2,-35,-14,-5,-1,-1
1537907088452084,2,15,34,18,0,0,0,0
1537907088453082,-2,-15,-16,-8,4,2,-1,-1
1537907088453082,1,-3,-38,-3,-1,-2,-2,0
1537907088474026,-3,-7,34,0,-3,-2,-4,-3
1537907088474026,3,12,7,-14,-9,-2,-1,1
1537907088476021,-3,2,-19,13,8,0,0,-3
1537907088476021,-2,-2,-9,12,3,-1,-2,-2
1537907088487989,0,-1,21,-11,-9,-5,-2,-1
1537907088487989,0,1,-11,1,-4,-1,0,0
1537907088496965,1,1,-10,-7,-3,-3,-2,0
1537907088496965,0,1,10,13,5,0,-2,-1
1537907088511925,-3,-6,0,-13,-2,0,0,-1
1537907088511925,0,4,-13,-1,-3,-1,1,0
1537907088512923,-2,1,11,17,11,2,-1,-2
1537907088512923,0,0,-2,-5,-6,-3,0,-2
1537907088533866,-2,-8,-6,-4,-3,-2,-1,-2
1537907088533866,0,2,1,2,-3,-1,-1,-1
1537907088535861,-2,1,7,7,9,3,-1,-1
1537907088535861,-1,-6,-9,-2,-7,-5,-1,-1
1537907088547829,-2,-4,2,-10,-4,-2,-2,-1
1537907088547829,-2,-2,-3,1,-2,-3,-1,-1
1537907088556805,-1,-1,-3,2,1,1,-2,-2
1537907088556805,0,0,-7,13,1,1,1,2
1537907088571765,1,0,3,-25,-8,-2,-1,1
1537907088571765,-2,2,2,4,-4,-3,-2,-2
1537907088572762,0,-1,-4,0,-1,0,-1,-2
1537907088572762,-2,0,-3,2,2,2,-2,-1
1537907088593706,0,-1,6,8,3,0,-2,-3
1537907088593706,0,0,-6,-9,0,0,-1,0
1537907088595701,-3,-4,23,-12,0,-1,-1,-2
1537907088595701,2,-1,-51,13,-4,-1,-1,-1
1537907088607668,0,0,35,6,0,-1,-1,0
1537907088607668,0,0,-10,-1,3,0,0,0
1537907088616645,-1,1,-1,10,2,-1,-1,-2
1537907088616645,-1,2,7,-20,-5,-1,-2,1
1537907088631605,-3,-4,-9,-1,-1,-2,-1,-2
1537907088631605,-1,1,0,5,-3,-4,0,-1
1537907088633600,-1,1,-1,-4,2,0,0,0
1537907088633600,0,-2,5,2,6,-1,-1,-1
1537907088654544,-1,-2,-13,5,-3,-1,1,0
1537907088654544,-2,2,14,-5,-2,0,0,-2
1537907088655541,-1,-2,-14,-8,-5,-2,0,0
1537907088655541,-1,-2,8,-3,1,-1,0,-1
1537907088667509,3,1,-16,-2,-2,1,1,1
1537907088667509,-2,-3,23,-6,-4,-5,-5,-4
1537907088676484,1,-1,-29,-9,-7,-1,-1,0
1537907088676484,-1,-1,14,1,-2,-1,0,0
1537907088691445,-1,0,1,2,6,2,0,1
1537907088691445,0,-1,-5,3,-2,1,-1,1
1537907088693439,-1,-3,4,-2,5,2,-1,-1
1537907088693439,-1,2,16,8,-2,-2,-1,-2
1537907088714383,-1,-8,-47,-14,-4,-3,-1,-2
1537907088714383,0,-1,-7,5,2,0,-1,1
1537907088715381,0,-1,-5,8,4,0,-1,-1
1537907088715381,-1,-1,10,-4,0,-1,0,0
1537907088727349,-2,-1,14,2,1,-1,-1,-1
1537907088727349,0,-2,-7,-2,-3,-1,-1,-1
1537907088736325,0,0,7,0,0,-1,0,0
1537907088736325,-1,-1,-7,-2,-2,0,-2,-1
1537907088751285,-3,-1,10,2,1,-2,-4,-1
1537907088751285,-1,0,-4,-5,-1,0,1,1
1537907088753284,-3,1,4,5,1,1,1,-2
1537907088753284,1,-1,-2,-3,-3,-3,-2,0
1537907088774223,-1,-1,0,0,-2,-1,-2,-1
1537907088774223,0,1,1,2,2,1,-1,1
1537907088775221,-2,0,1,1,-3,-1,-1,-1
1537907088775221,-2,-2,-7,0,3,3,0,-3
1537907088788186,0,1,4,0,-2,0,-2,0
1537907088788186,-1,-5,-21,-1,4,0,1,-1
1537907088797162,-1,-1,0,6,-3,-1,-1,0
1537907088797162,3,-2,17,-13,-12,-8,-1,1
1537907088812122,-2,0,-16,11,-2,-5,-4,-2
1537907088812122,8,28,17,4,5,5,3,5
1537907088813120,-3,-36,7,12,6,0,-1,0
1537907088813120,-5,-13,-33,17,13,5,-1,-3
1537907088834064,-1,-1,22,46,0,-2,2,-6
1537907088834064,-12,-3,-2,-44,-19,-11,-7,-8
1537907088836058,9,-14,-54,-7,12,5,2,5
1537907088836058,6,17,50,-42,-25,-9,-3,4
1537907088848026,1,16,5,15,8,3,1,2
1537907088848026,-2,0,21,108,41,11,2,-3
1537907088857002,-15,-22,-30,-90,-52,-15,-5,-11
1537907088857002,5,43,-15,29,6,5,0,-4
1537907088870965,9,-7,24,79,8,4,6,8
1537907088870965,-9,10,-65,7,36,11,-1,-4
1537907088877947,-3,39,70,-43,-68,-29,-14,-7
1537907088877947,4,-79,64,75,20,10,6,8
1537907088893903,8,91,-70,-53,-11,-6,-2,4
1537907088893903,12,-31,72,20,28,9,6,10
1537907088895898,-4,5,45,-63,-3,-2,-4,-4
1537907088895898,-17,-39,-111,28,-4,-4,-6,-10
1537907088907866,-14,-56,127,60,35,8,2,-10
1537907088907866,-3,-32,-124,-100,-79,-26,-8,-6
1537907088916842,4,47,58,51,49,18,2,-2
1537907088916842,11,42,127,58,10,4,7,8
1537907088930805,-8,-41,-115,-119,-27,-17,-10,-2
1537907088930805,-2,33,91,74,1,4,-4,-3
1537907088938783,-5,-34,-95,-26,-71,-19,-5,-4
1537907088938783,-2,-2,-98,-34,37,14,4,4
1537907088953744,-6,1,104,-84,0,2,0,-5
1537907088953744,5,0,-25,-71,1,0,3,6
1537907088955738,-5,7,20,51,19,-2,-3,-3
1537907088955738,-2,35,-4,24,-9,-7,-2,-7
1537907088967706,-14,-78,-88,14,2,4,-3,-6
1537907088967706,3,68,-19,-51,-36,-12,-1,-2
1537907088976682,20,9,4,87,47,19,11,14
1537907088976682,-4,3,3,-24,-8,-11,-5,-3
1537907088990645,9,15,-32,25,-16,-5,0,4
1537907088990645,-13,-72,-75,-9,2,0,-3,-8
1537907088997626,3,30,79,1,13,3,4,1
1537907088997626,-6,-24,-116,-66,-29,-10,-3,-3
1537907089014581,-3,18,99,-47,-7,1,-2,-6
1537907089014581,4,11,-7,115,46,15,4,4
1537907089015578,0,-7,33,-21,-21,-7,0,2
1537907089015578,-3,-13,82,23,5,-2,-2,0
1537907089045499,-3,27,24,3,-19,-7,-5,-4
1537907089045499,2,-14,23,-31,-12,0,0,-3
1537907089046496,0,-4,-18,25,24,7,2,2
1537907089046496,-3,-1,-2,-28,-10,-1,-3,-3
1537907089051482,0,-1,45,24,1,1,1,0
1537907089051482,3,10,17,16,-9,-6,-1,2
1537907089057467,-7,-21,73,-4,-2,-1,-2,-4
1537907089057467,5,18,-22,-18,0,-2,0,0
1537907089074423,4,7,-13,13,3,-2,1,0
1537907089074423,-5,-18,21,-23,-6,-3,-2,-5
1537907089075421,2,-1,-121,-5,11,6,4,1
1537907089075421,-1,2,39,-2,-4,-2,0,0
1537907089096364,5,5,-28,8,2,0,2,3
1537907089096364,-2,2,44,-2,-7,-4,-2,-2
1537907089098359,-2,-5,-47,7,7,1,0,-3
1537907089098359,1,3,0,-12,-6,-2,0,0
1537907089111324,1,-1,-29,-1,2,0,0,1
1537907089111324,-1,-7,-7,-9,-5,-3,-2,-1
1537907089117308,-1,0,2,1,0,0,-1,-1
1537907089117308,-1,0,8,-5,4,3,-1,-1
1537907089134262,-3,-8,1,0,1,1,-1,-2
1537907089134262,1,3,3,-6,-6,-4,-2,-1
1537907089135259,-1,-3,-6,8,5,1,-1,-1
1537907089135259,-1,0,14,-6,-3,-1,-3,-1
1537907089156204,2,0,-28,-3,-1,1,0,2
1537907089156204,-1,2,9,2,2,2,2,-1
1537907089158199,-1,-1,-3,0,2,-1,-1,0
1537907089158199,-1,-3,-3,-7,0,-1,-1,-4
1537907089171164,0,-1,-3,-4,-2,-2,-1,0
1537907089171164,0,0,7,-3,2,0,0,0
1537907089178145,-2,-6,7,5,-3,-2,-3,-1
1537907089178145,0,1,-1,-6,-2,0,-2,0
1537907089194101,-1,-1,-4,5,2,2,-1,1
1537907089194101,1,5,6,-9,-3,-1,-1,-1
1537907089196097,-1,-1,-12,-1,-1,-2,0,-2
1537907089196097,0,-15,-4,-8,0,-1,-1,-1
1537907089217040,-1,0,-10,-1,0,-1,0,1
1537907089217040,-3,-21,-2,0,-1,-3,-1,0
1537907089218038,1,40,6,8,6,2,1,0
1537907089218038,-2,-10,11,-25,-9,-1,-2,-1
1537907089230005,-2,-8,-12,3,-5,-3,-2,-4
1537907089230005,0,0,-2,-5,-5,-3,-2,0
1537907089238982,-1,-5,-2,3,1,0,0,0
1537907089238982,-1,1,17,1,6,1,0,1
1537907089252945,-2,5,-7,7,-3,-2,0,-1
1537907089252945,1,4,-35,-2,0,1,-2,-1
1537907089261923,-1,-21,-14,-18,-9,-3,-2,2
1537907089261923,-1,7,-5,3,1,-1,-2,-2
1537907089276881,1,-6,4,5,5,2,0,1
1537907089276881,1,8,29,3,3,1,-2,-3
1537907089277878,-1,1,4,0,-2,-2,0,-2
1537907089277878,-3,-6,-26,-5,-1,1,0,-3
1537907089298823,2,5,3,-3,0,1,-1,-1
1537907089298823,-2,2,2,-2,-2,-1,0,1
1537907089300819,0,-4,7,-2,-1,2,0,-1
1537907089300819,1,3,10,13,9,2,1,1
1537907089312785,-2,-3,-8,-9,-14,-7,-2,-1
1537907089312785,0,-2,-1,-8,-2,-2,0,1
1537907089321761,0,-5,-1,9,-2,-2,-1,-2
1537907089321761,0,4,-6,2,8,3,0,0
1537907089335724,1,0,1,13,9,3,2,0
1537907089335724,-2,1,7,-33,-13,-4,-4,-2
1537907089342705,-1,-4,1,-1,-4,-4,-1,0
1537907089342705,-1,3,-9,-12,-6,-4,-3,0
1537907089358662,0,1,10,16,13,3,1,-1
1537907089358662,-1,-2,34,-1,-2,1,0,1
1537907089360658,-1,-3,-11,8,-2,0,-2,-1
1537907089360658,5,7,-3,29,4,-1,1,3
1537907089372624,-2,-10,-7,-19,-7,-2,0,2
1537907089372624,1,3,2,16,4,2,0,-1
1537907089381601,-4,-5,10,-11,2,-1,-2,-1
1537907089381601,-1,3,9,2,-4,-1,-1,-3
1537907089395563,-1,2,-6,-6,-1,-1,-3,-1
1537907089395563,-2,0,-3,2,0,-1,-1,-2
1537907089402544,-1,-1,-1,10,5,2,-1,-1
1537907089402544,-3,-1,-1,-6,-4,-2,-2,-3
1537907089419498,-1,0,-4,-5,-2,-1,-1,-1
1537907089419498,-1,-4,-10,4,-2,0,-2,-1
1537907089420496,-1,0,-5,-3,-3,-1,0,0
1537907089420496,-1,-3,1,0,-2,-1,-1,1
1537907089432464,-1,-1,5,-7,0,-1,1,-1
1537907089432464,1,-2,-6,5,0,-3,-1,-2
1537907089441439,1,0,-4,-2,-2,-3,-1,0
1537907089441439,-3,-4,4,-3,-2,-2,-1,-3
1537907089456400,-2,-2,1,5,1,1,0,0
1537907089456400,-1,-2,-13,2,3,1,0,-1
1537907089462384,0,-1,16,-3,-2,-1,-1,1
1537907089462384,-2,-3,-13,0,-4,-2,-4,-2
1537907089480336,0,0,-1,-7,-2,-2,-3,0
1537907089480336,1,-1,-3,3,1,-1,0,0
1537907089482330,0,-2,-1,16,7,3,-1,-2
1537907089482330,0,0,-1,-21,-11,-5,0,-1
1537907089492304,0,0,1,-3,-1,-1,0,-2
1537907089492304,-2,-3,-2,3,3,2,-1,-1
1537907089501280,-1,-1,-6,-6,-5,-3,-1,1
1537907089501280,-1,-1,2,6,2,2,-2,0
1537907089516240,0,0,-2,14,-1,0,-1,-2
1537907089516240,0,-1,2,-8,1,-1,0,-1
1537907089523221,-1,0,8,3,-3,-5,-2,-3
1537907089523221,2,0,-7,1,0,1,-1,1
1537907089539178,0,-4,-18,-22,-1,0,0,0
1537907089539178,0,0,11,19,1,1,1,1
1537907089540176,-1,0,-6,-10,-3,-4,-2,-3
1537907089540176,-3,-5,2,-10,-2,-1,-1,-2
1537907089562117,0,2,-26,12,3,0,0,0
1537907089562117,1,1,-2,12,2,1,2,1
1537907089563115,0,-3,6,-10,4,2,1,2
1537907089563115,-3,-5,11,-2,-8,-6,-2,-3
1537907089576080,-1,1,4,-9,-1,-1,-1,-1
1537907089576080,-2,-3,-2,-14,-2,-1,-2,0
1537907089583061,-2,-1,-6,14,2,1,0,0
1537907089583061,0,0,4,-2,0,-1,0,1
1537907089599018,-1,0,1,-2,-1,0,1,-2
1537907089599018,-3,-3,-4,4,-5,-5,-3,-1
1537907089601013,0,0,-3,-7,3,2,0,0
1537907089601013,1,0,-8,3,3,2,1,0
1537907089621957,-2,0,9,-4,-4,-1,0,0
1537907089621957,0,1,10,3,1,1,-2,0
1537907089622955,-1,1,4,1,-6,0,-1,-2
1537907089622955,-1,-2,-12,-8,-5,-2,-1,0
1537907089636917,-1,-3,4,-23,6,3,0,1
1537907089636917,-1,1,1,18,-9,-6,-1,-2
1537907089637915,5,8,21,8,15,4,1,1
1537907089637915,-2,-9,-64,-48,-43,-14,-7,-3
1537907089658858,1,-1,-2,4,2,1,0,2
1537907089658858,0,0,-11,-17,-1,1,-1,0
1537907089660853,0,-3,8,8,0,-1,-1,-2
1537907089660853,-2,2,33,20,12,3,1,-2
1537907089681797,-1,0,-9,-1,-6,-2,-1,-2
1537907089681797,-3,-2,3,-1,0,-1,-2,0
1537907089683792,-2,-1,-8,2,-2,-1,-1,0
1537907089683792,-1,4,4,7,9,1,-1,0
1537907089695760,-1,-2,7,3,-4,-3,-2,-3
1537907089695760,1,0,1,0,2,0,-1,-1
1537907089703739,-1,-1,-11,-12,-6,-3,-2,-3
1537907089703739,-2,-1,-1,2,6,3,1,-2
1537907089718699,-1,0,8,8,-1,-1,-1,0
1537907089718699,-2,-4,-20,-6,-4,-1,0,-2
1537907089720693,-1,-6,5,-9,-4,-1,-1,0
1537907089720693,2,6,8,7,2,1,-2,1
1537907089741637,-1,-3,5,8,0,-1,-1,-3
1537907089741637,0,-2,-5,-4,0,1,-2,-1
1537907089742635,-1,-4,-12,1,0,-1,0,-1
1537907089742635,1,-1,8,7,2,1,1,-2
1537907089755600,-2,-1,6,-6,0,-2,-2,-2
1537907089755600,0,-1,5,-5,-4,-3,1,-1
1537907089764576,1,1,-32,-3,0,0,1,0
