timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537911421352702,0,5,10,25,6,7,9,1
1537911421352702,-1,-2,-9,-23,5,6,0,2
1537911421353700,-2,0,2,-14,-2,-3,-4,-4
1537911421353700,0,0,-3,27,-8,-2,5,2
1537911421354697,-1,-3,-7,-28,-5,-6,-3,0
1537911421354697,1,2,7,12,-30,-1,-2,-3
1537911421355694,-2,-3,3,12,59,5,2,1
1537911421355694,0,1,-2,2,-30,-8,-5,-1
1537911421363673,-1,0,1,7,-32,-3,-4,-2
1537911421363673,-1,2,3,8,73,2,0,-1
1537911421372649,-2,-3,-7,-3,-27,-4,-3,-2
1537911421372649,-1,-2,-2,-11,-25,-12,-3,-2
1537911421378633,2,0,-2,-2,27,15,3,0
1537911421378633,0,1,1,-7,-21,0,2,-3
1537911421393593,0,2,0,5,-3,-2,0,0
1537911421393593,0,0,3,-7,-6,-6,-2,-2
1537911421399577,-2,-6,-5,-8,-11,-5,-2,-3
1537911421399577,-1,0,1,4,1,0,-2,-1
1537911421423513,1,1,1,-2,-9,-2,1,1
1537911421423513,-2,-1,1,-2,9,4,-1,-1
1537911421424510,-1,-1,-1,3,9,-1,-4,-1
1537911421424510,-1,-1,-1,-6,0,-2,0,1
1537911421462414,-1,-2,0,5,0,1,-1,-3
1537911421462414,-2,0,2,9,2,1,0,-1
1537911421463406,-3,-2,-5,-22,-16,0,0,-1
1537911421463406,-4,0,-3,-12,-2,-5,-1,-2
1537911421464404,0,1,4,12,20,2,2,-1
1537911421464404,0,3,9,49,14,-10,-4,-3
1537911421467396,-1,-5,-12,-59,-19,14,4,2
1537911421467396,0,-5,-9,-12,0,-2,-1,-1
1537911421474377,1,0,-2,-12,-16,-4,0,1
1537911421474377,0,1,2,7,3,-1,0,0
1537911421482357,0,3,7,28,10,-1,-2,-2
1537911421482357,0,1,0,3,-7,-2,-1,-1
1537911421489340,-1,1,-3,8,16,0,0,1
1537911421489340,0,-2,-1,-13,-12,2,0,-2
1537911421505295,-1,-1,3,16,-15,-8,-3,-1
1537911421505295,1,-1,-2,-4,-3,9,2,1
1537911421511279,-1,-2,1,2,-7,-3,-3,-2
1537911421511279,-2,-3,-6,-16,3,2,-1,0
1537911421537209,-2,-1,-1,1,-1,-6,-2,-2
1537911421537209,1,1,3,14,3,-3,-2,-2
1537911421538207,0,0,-2,0,4,0,-2,-1
1537911421538207,-2,-3,-5,-22,-11,-3,-5,-1
1537911421550175,1,0,0,11,8,2,5,1
1537911421550175,-1,0,4,4,1,-1,-1,0
1537911421556158,-2,-1,-1,-6,-7,2,-4,-3
1537911421556158,0,-1,-1,-9,-3,-1,0,-1
1537911421573113,0,1,1,9,7,-3,-4,-3
1537911421573113,-1,0,-1,1,3,1,-1,-1
1537911421574110,-2,-1,-5,-7,-8,-2,0,1
1537911421574110,2,1,0,-1,-1,2,0,0
1537911421587075,-2,-3,-3,0,6,-3,-1,-2
1537911421587075,1,-1,1,-2,0,0,-1,0
1537911421596051,-1,0,1,-3,-7,0,-1,0
