timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1537904872134308,-3,-28,5,11,3,0,-1,-2
1537904872134308,0,6,-26,-12,-3,-3,0,-1
1537904872135305,-2,-9,13,2,5,0,-1,0
1537904872135305,0,4,5,-3,-4,-4,-1,0
1537904872137300,-6,-22,-4,0,1,1,0,-2
1537904872137300,1,23,9,0,1,1,-2,0
1537904872138297,-1,-7,1,-4,-8,-5,-2,-2
1537904872138297,-2,14,-6,0,1,2,0,-2
1537904872153257,-1,1,-18,-2,-1,-1,0,0
1537904872153257,-4,-13,40,4,3,0,-3,-4
1537904872154254,0,-9,-45,-9,-6,0,-1,0
1537904872154254,-2,2,6,6,-2,-1,-1,-1
1537904872167220,4,23,11,-11,-2,2,1,0
1537904872167220,-1,1,10,7,-2,-3,-2,0
1537904872175198,-2,-11,-27,-4,-2,1,0,-2
1537904872175198,1,5,21,1,-6,-4,-3,-2
1537904872182180,2,20,-6,-9,1,0,0,1
1537904872182180,-3,-5,0,8,5,7,1,-3
1537904872196142,-2,12,6,-4,-9,-9,-3,-3
1537904872196142,-2,-8,-16,2,-3,-3,-3,0
1537904872207113,0,0,4,2,0,-3,-1,0
1537904872207113,2,6,-5,0,1,2,1,2
1537904872219081,-1,16,-2,2,14,12,3,0
1537904872219081,-1,-10,2,-6,-4,-5,-1,0
1537904872259972,1,-2,1,-7,4,1,-1,-1
1537904872259972,1,-7,5,11,-6,-6,-2,0
1537904872260969,-2,-14,-6,-13,0,3,2,1
1537904872260969,1,11,-2,-7,-3,-1,-2,0
1537904872272937,-4,-22,-15,4,0,-3,-2,-2
1537904872272937,-2,9,1,-9,-6,1,1,-2
1537904872273935,0,21,1,7,8,0,-2,-3
1537904872273935,-2,-23,4,-5,-10,-3,-2,0
1537904872274932,-2,-3,9,1,1,1,0,-1
1537904872274932,-1,8,-12,-5,0,1,1,-2
1537904872279919,-2,-13,-14,-5,5,3,0,2
1537904872279919,-2,0,4,6,-3,0,1,2
1537904872285902,-1,2,9,-4,-4,-2,-4,-2
1537904872285902,-2,7,-7,1,1,0,-1,2
1537904872301860,-1,-13,8,0,-4,-2,0,-2
